更新时间,#genre#
2024-12-24 06:12:13,url
📺央视频道,#genre#
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源
CCTV-1,http://116.117.105.183:8096/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://123.138.22.30:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://60.255.240.247:8090/live/CCTV-2H265_4000.m3u8$订阅源
CCTV-2,http://123.130.84.106:8154/tsfile/live/0002_1.m3u8$订阅源
CCTV-3,http://171.107.73.129:4000/udp/239.81.0.231:4056$订阅源
CCTV-3,http://106.118.70.49:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-4,http://110.7.130.134:8096/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://61.52.87.224:9003//hls/4/index.m3u8$订阅源|1920x1080
CCTV-4,http://114.249.229.24:8888/udp/239.3.1.213:4220$订阅源
CCTV-5,http://a15c1d.tv.netsite.cc/proxy/2118762958/2118762958.m3u8$订阅源
CCTV-5,http://113.140.86.162:8009/hls/503/index.m3u8$订阅源
CCTV-5,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv5$订阅源
CCTV-5+,http://125.33.89.106:5566/udp/239.3.1.130:8004$订阅源|1920x1080
CCTV-5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$订阅源
CCTV-5+,http://223.166.234.19:7777/tsfile/live/0016_1.m3u8$订阅源
CCTV-6,http://60.255.240.247:8090/live/CCTV-6H265.m3u8$订阅源
CCTV-6,http://120.197.43.179:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-6,http://119.36.148.115:59901/tsfile/live/0006_1.m3u8$订阅源
CCTV-7,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://218.77.81.186:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://wouu.net:9977/udp/239.93.1.67:5140$订阅源
CCTV-8,http://175.16.180.250:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://116.117.104.39:8096/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8$订阅源|1920x1080
CCTV-9,http://221.233.192.152:1111/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://219.128.121.202:59901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://101.74.28.105:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-10,http://116.117.105.247:8096/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://39.98.201.151:9090/udp/225.1.8.10:8116$订阅源
CCTV-10,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-11,http://114.249.229.24:8888/udp/239.3.1.152:8120$订阅源
CCTV-11,http://61.156.228.12:8154/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://114.249.230.215:9888/udp/239.3.1.64:8124$订阅源
CCTV-12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8$订阅源
CCTV-12,http://218.89.240.144:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://114.83.223.132:9999/udp/239.45.1.198:5140$订阅源|1920x1080
